source_key,source_kind,publisher,source_date,source_date_raw,source_date_precision,source_date_lower_bound,source_date_upper_bound,source_date_provenance,source_date_note,seasons,url,note
espn2017was,per_row,ESPN,2017-01-12,2017-01-12,exact_day,2017-01-12,2017-01-12,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/washington-commanders/post/_/id/29729/without-sean-mcvay-redskins-coach-jay-gruden-could-return-to-calling-plays,
espn2018hc,season_table,ESPN,2018-07-12,2018-07-12,exact_day,2018-07-12,2018-07-12,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/nflnation/post/_/id/277514/finding-the-next-sean-mcvay-head-coaches-who-call-offensive-plays,Names all 14 head coaches calling their own plays in 2018; states this is up from 11 of 32 in 2017. Also names Ken Whisenhunt as the Chargers' play-caller.
espn2018pit,per_row,ESPN,2018-01-17,2018-01-17,exact_day,2018-01-17,2018-01-17,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/22133581/pittsburgh-steelers-part-ways-offensive-coordinator-todd-haley,
espn2018sea,per_row,ESPN,2018-01-11,2018-01-11,exact_day,2018-01-11,2018-01-11,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/nflnation/post/_/id/266192/darrell-bevell-had-successful-run-but-super-bowl-call-is-his-seahawks-legacy,
espn2019car,per_row,ESPN,2019-07-29,2019-07-29,exact_day,2019-07-29,2019-07-29,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://espn.com/espn/wire?id=27281550&section=nfl,
espn2019cle,per_row,ESPN,2019-09-23,2019-09-23,exact_day,2019-09-23,2019-09-23,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/cleveland/post/_/id/7083/freddie-kitchens-says-handing-off-play-calling-to-todd-monken-not-gonna-happen,
espn2019gb,per_row,ESPN,2019-01-18,2019-01-18,exact_day,2019-01-18,2019-01-18,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/green-bay-packers/post/_/id/46728/lafleur-hackett-plan-run-the-ball-then-let-aaron-rodgers-go-play,
espn2019mia,per_row,ESPN,2019-02-20,2019-02-20,exact_day,2019-02-20,2019-02-20,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/miami-dolphins/post/_/id/28727/expect-chad-osheas-dolphins-offense-to-emphasize-playmakers,
espn2020chi,per_row,ESPN,2020-01-13,2020-01-13,exact_day,2020-01-13,2020-01-13,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/28478023/bears-hire-bill-lazor-offensive-coordinator-matt-nagy-retains-play-calling-duties,
espn2020cin,per_row,ESPN,2020-11-12,2020-11-12,exact_day,2020-11-12,2020-11-12,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/cincinnati-bengals/post/_/id/32690/why-bengals-offensive-uptick-bodes-well-for-zac-taylors-future,
espn2020hou,per_row,ESPN,2020-02-25,2020-02-25,exact_day,2020-02-25,2020-02-25,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/28780565/texans-bill-obrien-turning-playcalling-oc-tim-kelly,
espn2020sf,per_row,ESPN,2020-02-06,2020-02-06,exact_day,2020-02-06,2020-02-06,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/28648579/49ers-kyle-shanahan-says-no-regrets-super-bowl-playcalling,
espn2023,season_table,ESPN,2023-08-23,"Aug 23, 2023, 06:32 AM ET",exact_day,2023-08-23,2023-08-23,page_byline,CORRECTED from an inferred 2023-08-01. Eligibility verdict unchanged (pre-cutoff).,2023,https://www.espn.com/nfl/story/_/id/38108724/key-intel-all-32-nfl-playcallers-including-mike-mccarthy,"All 32 playcallers, 2023 season. Date AUDITED 2026-07-28 from the byline 'Aug 23, 2023, 06:32 AM ET'; replaces an inferred 2023-08-01."
espn2024,season_table,ESPN,2024-08-30,"Aug 30, 2024, 06:00 AM ET",exact_day,2024-08-30,2024-08-30,page_byline,CORRECTED from an inferred 2024-08-01. Eligibility verdict unchanged (pre-cutoff).,2024,https://www.espn.com/nfl/story/_/id/41018846/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-nathaniel-hackett,"All 32 playcallers, 2024 season. Date AUDITED 2026-07-28 from the byline 'Aug 30, 2024, 06:00 AM ET'; replaces an inferred 2024-08-01."
espn2025,season_table,ESPN,2025-09-09,"NFL Nation Sep 9, 2025, 06:00 AM ET",exact_day,2025-09-09,2025-09-09,page_byline,"CORRECTED from an inferred 2025-08-01. Verdict CHANGED: the real byline is AFTER the 2025 cutoff (2025-09-03), so this source cannot establish preseason eligibility.",2025,https://www.espn.com/nfl/story/_/id/46137832/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-brian-schottenheimer,"All 32 playcallers, 2025 season. Date AUDITED 2026-07-28 from the byline 'NFL Nation Sep 9, 2025, 06:00 AM ET'; replaces an inferred 2025-08-01. This is AFTER the 2025 projection cutoff (2025-09-03) -- the inferred value had granted this source FALSE preseason eligibility for all 32 teams."
fantasyindex2018,season_table,Fantasy Index,2018-06-28,2018-06-28,exact_day,2018-06-28,2018-06-28,page_byline,full date established from the article byline or page metadata at the time the source was read,2018,https://fantasyindex.com/2018/06/28/ian-allan/offensive-coaches,"'Offensive coaches - Ranking the play callers 1 thru 32' — all 32, 2018. Every head-coach caller here also appears in the independent ESPN 2018-07-12 list."
fantasyindex2026,season_table,Fantasy Index,2026-02-20,2026-02-20,exact_day,2026-02-20,2026-02-20,page_byline,full date established from the article byline or page metadata at the time the source was read,2026,https://fantasyindex.com/2026/02/20/around-the-nfl/ranking-the-offensive-play-callers,"All 32 play-callers, 2026 season. Role labels unreliable; identity used, role derived."
forbes2026kc,per_row,Forbes,2026-01-27,2026-01-27,exact_day,2026-01-27,2026-01-27,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.forbes.com/sites/jefffedotin/2026/01/27/why-andy-reid-remains-chiefs-playcaller-despite-eric-bieniemys-return/,
fox2015gb,per_row,Fox Sports / AP,,,missing,,,inferred,Stored 2015-01-01 was an inferred placeholder (article date not captured).,event,https://www.foxnews.com/sports/mccarthy-promotes-clements-ready-to-give-up-play-calling,
fox2015sf,per_row,Fox Sports / AP,2015-11-06,2015-11-06,exact_day,2015-11-06,2015-11-06,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.foxnews.com/sports/49ers-oc-chryst-learning-to-play-the-hand-that-youre-dealt.amp,
fox2016lac,per_row,Fox Sports / AP,2016-01-18,2016-01-18,exact_day,2016-01-18,2016-01-18,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.foxnews.com/sports/ex-chargers-play-caller-frank-reich-lands-in-philadelphia,
giants2014nyg,per_row,New York Giants (official),2014-01-14,2014-01-14,exact_day,2014-01-14,2014-01-14,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.giants.com/news/ben-mcadoo-named-offensive-coordinator-12437489,
inq2020phi,per_row,Philadelphia Inquirer,2020-01-09,2020-01-09,exact_day,2020-01-09,2020-01-09,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.inquirer.com/eagles/mike-groh-carson-walch-eagles-fired-offensive-coordinator-receivers-coach-doug-pederson-20200109.html,
inq2021phi,per_row,Philadelphia Inquirer,2021-08-16,2021-08-16,exact_day,2021-08-16,2021-08-16,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.inquirer.com/eagles/philadelphia-eagles-frank-reich-carson-wentz-doug-pederson-20210816.html,
nbc2014la,per_row,NBC Sports / ProFootballTalk,2014-12-31,2014-12-31,exact_day,2014-12-31,2014-12-31,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/jeff-fisher-is-all-in-with-brian-schottenheimer,
nbc2014nyj,per_row,NBC Sports / ProFootballTalk,2014-09-15,2014-09-15,exact_day,2014-09-15,2014-09-15,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/marty-mornhinweg-sheldon-richardson-teamed-up-for-fateful-jets-timeout,
nbc2016cle,per_row,NBC Sports / ProFootballTalk,2016-01-16,2016-01-16,exact_day,2016-01-16,2016-01-16,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/hue-jackson-plans-to-call-plays-not-hire-an-offensive-coordinator,
nbc2016mia,per_row,NBC Sports / ProFootballTalk,2016-01-17,2016-01-17,exact_day,2016-01-17,2016-01-17,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/dolphins-expected-to-hire-clyde-christensen-as-offensive-coordinator,
nbc2016sf,per_row,NBC Sports Bay Area,2016-06-03,2016-06-03,exact_day,2016-06-03,2016-06-03,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nbcsportsbayarea.com/nfl/49ers-oc-modkins-to-provide-kelly-with-input-from-upstairs/1252609/,
nbc2021lv,per_row,NBC Sports / ProFootballTalk,2021-10-13,2021-10-13,exact_day,2021-10-13,2021-10-13,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/greg-olson-to-take-over-as-raiders-play-caller-after-jon-gruden-departure,
nbcla2019la,per_row,NBC Los Angeles,2019-09-16,2019-09-16,exact_day,2019-09-16,2019-09-16,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nbclosangeles.com/news/local/rams-coach-mcvay/1965805/,
nbcp2021ind,per_row,NBC Sports Philadelphia,2021-01-22,2021-01-22,exact_day,2021-01-22,2021-01-22,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nbcsportsphiladelphia.com/nfl/philadelphia-eagles/a-closer-look-at-nick-siriannis-former-role-with-the-colts/176872/,
ne2016afc,per_row,New England Patriots (official),2016-01-25,2016-01-25,exact_day,2016-01-25,2016-01-25,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.patriots.com/news/patriots-broncos-afc-championship-performance-review-254891,
newsweek2018cle,season_table,Newsweek,2018-10-29,2018-10-29,exact_day,2018-10-29,2018-10-29,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.newsweek.com/hue-jackson-todd-haley-fired-cleveland-browns-midway-through-season-1192594,Jackson and OC Haley fired after Week 8; Freddie Kitchens promoted and called plays for the remainder of the season.
nfl2014cin,per_row,NFL.com,2014-01-09,2014-01-09,exact_day,2014-01-09,2014-01-09,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://nfl.com/news/story/0ap2000000311090/article/hue-jackson-to-be-cincinnati-bengals-offensive-coordinator,
nfl2014dal,per_row,NFL.com,2014-01-20,2014-01-20,exact_day,2014-01-20,2014-01-20,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nfl.com/news/dallas-cowboys-hire-scott-linehan-as-play-caller-0ap2000000318629,
nfl2014ten,per_row,NFL.com,2014-01-17,2014-01-17,exact_day,2014-01-17,2014-01-17,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://nfl.com/news/story/0ap2000000314683/article/jason-michael-hired-as-tennessee-titans-oc,
nfl2015atl,per_row,NFL.com,2015-01-18,2015-01-18,exact_day,2015-01-18,2015-01-18,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nfl.com/news/atlanta-falcons-plan-to-hire-dan-quinn-kyle-shanahan-0ap3000000459983,
nfl2016gb,per_row,NFL.com,,,missing,,,inferred,Stored 2016-08-01 was an inferred placeholder (article date not captured).,event,https://www.nfl.com/news/mike-mccarthy-i-ll-never-give-up-play-calling-again-0ap3000000680593,
nfl2016ten,per_row,NFL.com,2016-01-20,2016-01-20,exact_day,2016-01-20,2016-01-20,page_byline,full date established from the article byline or page metadata at the time the source was read,event,http://www.nfl.com/news/story/0ap3000000624901/article/titans-hiring-terry-robiskie-as-offensive-coordinator,
nfl2019min,per_row,NFL.com,2019-01-10,2019-01-10,exact_day,2019-01-10,2019-01-10,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.nfl.com/news/kevin-stefanski-returning-as-minnesota-vikings-oc-0ap3000001009202,
ravens2016bal,per_row,Baltimore Ravens (official),2016-10-10,2016-10-10,exact_day,2016-10-10,2016-10-10,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.baltimoreravens.com/news/ravens-fire-offensive-coordinator-marc-trestman-17854693,
ringer2019dal,per_row,The Ringer,2019-08-15,2019-08-15,exact_day,2019-08-15,2019-08-15,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.theringer.com/nfl-preview/2019/8/15/20806357/dallas-cowboys-new-offense-dak-prescott-ezekiel-elliott-kellen-moore,
ringer2019dal_linehan,per_row,The Ringer,2019-08-15,2019-08-15,exact_day,2019-08-15,2019-08-15,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.theringer.com/nfl-preview/2019/8/15/20806357/dallas-cowboys-new-offense-dak-prescott-ezekiel-elliott-kellen-moore,
sea2019two,per_row,ESPN (+ NBC Sports 2018-01-13),2021-01-12,2021-01-12,exact_day,2021-01-12,2021-01-12,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/30701471/seattle-seahawks-citing-philosophical-differences-part-offensive-coordinator-brian-schottenheimer,
sf2014shared,per_row,ESPN,,2014-01-01,inferred,,,inferred,stored value matches a placeholder pattern and was not traced to a byline; treated as inferred -> never eligible,event,https://www.espn.com/blog/san-francisco-49ers/post/_/id/11004/greg-roman-remains-49ers-offensive-coordinator,
si2014tb,per_row,Sports Illustrated,2014-12-05,2014-12-05,exact_day,2014-12-05,2014-12-05,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.si.com/nfl/2014/12/05/jeff-tedford-tampa-bay-buccaneers-released,
si2019den,per_row,Sports Illustrated,2019-12-09,2019-12-09,exact_day,2019-12-09,2019-12-09,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.si.com/nfl/broncos/news/vic-fangio-on-rich-scangarellos-play-calling-we-had-to-try-to-win-not-hope-to-win,
si2020jax,per_row,Sports Illustrated,2020-01-16,2020-01-16,exact_day,2020-01-16,2020-01-16,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.si.com/nfl/jaguars/onsi/news/report-former-jaguars-oc-john-defilippo-hired-as-position-coach-by-bears,
steelersdepot2019pit,per_row,Steelers Depot,2019-12-22,2019-12-22,exact_day,2019-12-22,2019-12-22,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://steelersdepot.com/2019/12/randy-fichtner-defends-play-calling-performance-i-am-not-going-to-call-scared/,
tampabay2019tb,per_row,Tampa Bay Times,2019-11-09,2019-11-09,exact_day,2019-11-09,2019-11-09,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.tampabay.com/sports/bucs/2019/11/09/can-byron-leftwich-keep-growing-into-his-job-as-the-bucs-play-caller/,
vikings2016min,per_row,Minnesota Vikings (official),2016-11-02,2016-11-02,exact_day,2016-11-02,2016-11-02,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.vikings.com/news/norv-turner-resigns-as-vikings-offensive-coordinator-18004050,
yahoo2015la,per_row,Yahoo Sports,2015-12-07,2015-12-07,exact_day,2015-12-07,2015-12-07,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://sports.yahoo.com/blogs/nfl-shutdown-corner/rams-fire-offensive-coordinator-frank-cignetti--rob-boras-promoted-204218400.html,
yardbarker2020,season_table,Yardbarker,2020-10-22,2020-10-22,exact_day,2020-10-22,2020-10-22,page_byline,full date established from the article byline or page metadata at the time the source was read,2020,https://www.yardbarker.com/nfl/articles/ranking_the_offensive_play_callers_from_every_nfl_team/s1__32555903,"All 32 teams, 2020 season."
yardbarker2021,season_table,Yardbarker,2021-10-18,"Updated October 18, 2021",exact_day,2021-10-18,2021-10-18,page_byline,CORRECTED from a fabricated placeholder 2021-01-01 that was entered when the first fetch returned no date. The placeholder falsely implied preseason eligibility.,2021,https://www.yardbarker.com/nfl/articles/ranking_the_offensive_play_caller_for_each_nfl_team/s1__35857394,"All 32 teams, 2021 season. Date CORRECTED 2026-07-28 from a placeholder 2021-01-01 to the article byline ""Updated October 18, 2021"" — the placeholder falsely made this source look preseason-eligible."
yardbarker2022,season_table,Yardbarker,2022-12-05,2022-12-05,exact_day,2022-12-05,2022-12-05,page_byline,full date established from the article byline or page metadata at the time the source was read,2022,https://www.yardbarker.com/nfl/articles/ranking_the_offensive_play_caller_for_each_nfl_team/s1__37978942,"All 32 teams, 2022 season."
