season,player,position,adp_pos_rank,estimate,estimate_source,is_unprojected,band_confidence,p10,p25,p50,p75,p90,p_top12,p_top24,p_bust,powered_by,signal_status,player_id,team,is_rookie,population,value_gap
2026,Jared Goff,QB,17,283.5,sleeper,False,NORMAL,111.7,183.7,239.1,282.2,315.0,0.271,0.78,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0033106,DET,0,stable_role,3.0
2026,Malik Willis,QB,18,252.8,sleeper,False,NORMAL,81.1,153.0,208.4,251.6,284.3,0.169,0.661,,powered by Sleeper's projections vs the draft market,signal unvalidated for volatile QB/TE; threshold tiers unvalidated,00-0038128,MIA,0,volatile_qb_te,-4.0
2026,Baker Mayfield,QB,19,274.9,sleeper,False,NORMAL,103.2,175.1,230.5,273.7,306.4,0.254,0.78,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0034855,TB,0,stable_role,1.0
2026,Tyler Shough,QB,20,260.0,sleeper,False,NORMAL,88.3,160.2,215.6,258.8,291.5,0.186,0.695,,powered by Sleeper's projections vs the draft market,signal unvalidated for volatile QB/TE; threshold tiers unvalidated,00-0040743,NO,0,volatile_qb_te,-1.0
2026,Kyler Murray,QB,21,265.2,sleeper,False,NORMAL,93.5,165.4,220.8,264.0,296.7,0.203,0.72,,powered by Sleeper's projections vs the draft market,signal unvalidated for volatile QB/TE; threshold tiers unvalidated,00-0035228,MIN,0,volatile_qb_te,2.0
2026,C.J. Stroud,QB,22,234.2,sleeper,False,NORMAL,62.5,134.4,189.8,233.0,265.7,0.085,0.576,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039163,HOU,0,stable_role,-1.0
2026,Sam Darnold,QB,23,262.7,sleeper,False,NORMAL,91.0,163.0,218.3,261.5,294.3,0.195,0.703,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0034869,SEA,0,stable_role,3.0
2026,Bijan Robinson,RB,1,292.9,sleeper,False,NORMAL,192.6,232.3,268.1,314.4,347.0,0.834,0.959,0.01,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0038542,ATL,0,stable_role,0.0
2026,Jahmyr Gibbs,RB,2,277.9,sleeper,False,NORMAL,177.6,217.3,253.1,299.4,332.0,0.773,0.939,0.014,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039139,DET,0,stable_role,0.0
2026,Jonathan Taylor,RB,3,254.3,sleeper,False,NORMAL,154.0,193.7,229.5,275.8,308.4,0.634,0.864,0.031,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0036223,IND,0,stable_role,-1.0
2026,Christian McCaffrey,RB,4,256.0,sleeper,False,NORMAL,155.7,195.4,231.2,277.5,310.1,0.634,0.871,0.031,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0033280,SF,0,stable_role,1.0
2026,James Cook,RB,5,245.3,sleeper,False,NORMAL,145.0,184.7,220.5,266.8,299.4,0.583,0.831,0.044,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0037248,BUF,0,stable_role,0.0
2026,De'Von Achane,RB,6,222.0,sleeper,False,NORMAL,121.7,161.4,197.2,243.5,276.1,0.39,0.698,0.092,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039040,MIA,0,stable_role,-3.0
2026,Saquon Barkley,RB,7,226.0,sleeper,False,NORMAL,125.7,165.4,201.2,247.5,280.1,0.427,0.729,0.085,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0034844,PHI,0,stable_role,-1.0
2026,Ashton Jeanty,RB,8,234.5,sleeper,False,NORMAL,134.2,173.9,209.7,256.0,288.6,0.488,0.773,0.061,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040122,LV,0,stable_role,1.0
2026,Omarion Hampton,RB,9,217.9,sleeper,False,NORMAL,117.6,157.3,193.1,239.4,272.0,0.376,0.675,0.112,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0040666,LAC,0,volatile_rb_wr,-1.0
2026,Chase Brown,RB,10,205.8,sleeper,False,NORMAL,105.5,145.2,181.0,227.3,259.9,0.322,0.617,0.149,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0038597,CIN,0,stable_role,-3.0
2026,Kenneth Walker,RB,11,210.0,sleeper,False,NORMAL,109.7,149.4,185.2,231.5,264.1,0.346,0.634,0.129,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0038134,KC,0,volatile_rb_wr,-1.0
2026,Jeremiyah Love,RB,12,212.5,sleeper,False,NORMAL,112.2,151.9,187.7,234.0,266.6,0.363,0.647,0.125,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0041027,ARI,1,volatile_rb_wr,1.0
2026,Derrick Henry,RB,13,236.2,sleeper,False,NORMAL,135.9,175.6,211.4,257.7,290.3,0.495,0.793,0.058,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0032764,BAL,0,stable_role,7.0
2026,Josh Jacobs,RB,14,186.1,sleeper,False,NORMAL,85.8,125.5,161.3,207.6,240.2,0.217,0.444,0.227,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0035700,GB,0,stable_role,-2.0
2026,Breece Hall,RB,15,195.6,sleeper,False,NORMAL,95.3,135.0,170.8,217.1,249.7,0.278,0.519,0.18,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0038120,NYJ,0,stable_role,0.0
2026,Kyren Williams,RB,16,185.3,sleeper,False,NORMAL,85.0,124.7,160.5,206.8,239.4,0.217,0.441,0.231,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0037840,LA,0,stable_role,-2.0
2026,Travis Etienne,RB,17,195.9,sleeper,False,NORMAL,95.6,135.3,171.1,217.4,250.0,0.278,0.525,0.18,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0036973,NO,0,volatile_rb_wr,3.0
2026,Javonte Williams,RB,18,185.8,sleeper,False,NORMAL,85.5,125.2,161.0,207.3,239.9,0.217,0.444,0.227,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0036997,DAL,0,stable_role,1.0
2026,TreVeyon Henderson,RB,19,162.0,sleeper,False,NORMAL,61.7,101.4,137.2,183.5,216.1,0.119,0.329,0.366,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040734,NE,0,stable_role,-5.0
2026,Bucky Irving,RB,20,179.3,sleeper,False,NORMAL,79.0,118.7,154.5,200.8,233.4,0.197,0.417,0.271,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0039361,TB,0,volatile_rb_wr,0.0
2026,Cam Skattebo,RB,21,168.7,sleeper,False,NORMAL,68.4,108.1,143.9,190.2,222.8,0.159,0.369,0.336,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0040715,NYG,0,volatile_rb_wr,-1.0
2026,Bhayshul Tuten,RB,22,152.9,sleeper,False,NORMAL,52.6,92.3,128.1,174.4,207.0,0.081,0.281,0.431,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040719,JAX,0,stable_role,-6.0
2026,D'Andre Swift,RB,23,175.4,sleeper,False,NORMAL,75.1,114.8,150.6,196.9,229.5,0.183,0.38,0.298,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0036275,CHI,0,stable_role,2.0
2026,Quinshon Judkins,RB,24,167.8,sleeper,False,NORMAL,67.5,107.2,143.0,189.3,221.9,0.149,0.366,0.342,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040784,CLE,0,stable_role,1.0
2026,Jadarian Price,RB,25,160.5,sleeper,False,NORMAL,60.2,99.9,135.7,182.0,214.6,0.108,0.319,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0041512,SEA,1,volatile_rb_wr,0.0
2026,David Montgomery,RB,26,180.4,sleeper,False,NORMAL,80.1,119.8,155.6,201.9,234.5,0.2,0.42,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0035685,HOU,0,volatile_rb_wr,7.0
2026,Jaylen Warren,RB,27,152.6,sleeper,False,NORMAL,52.3,92.0,127.8,174.1,206.7,0.078,0.281,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0037228,PIT,0,stable_role,-2.0
2026,Rhamondre Stevenson,RB,28,157.9,sleeper,False,NORMAL,57.6,97.3,133.1,179.4,212.0,0.095,0.305,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0036875,NE,0,stable_role,1.0
2026,J.K. Dobbins,RB,29,147.2,sleeper,False,NORMAL,46.9,86.6,122.4,168.7,201.3,0.071,0.261,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0036158,DEN,0,volatile_rb_wr,-1.0
2026,Kyle Monangai,RB,30,143.1,sleeper,False,NORMAL,42.8,82.5,118.3,164.6,197.2,0.061,0.227,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040236,CHI,0,stable_role,-2.0
2026,Tony Pollard,RB,31,146.1,sleeper,False,NORMAL,45.8,85.5,121.3,167.6,200.2,0.071,0.251,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0035261,TEN,0,stable_role,0.0
2026,Rico Dowdle,RB,32,136.6,sleeper,False,NORMAL,36.3,76.0,111.8,158.1,190.7,0.044,0.2,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0036139,PIT,0,volatile_rb_wr,-2.0
2026,Chuba Hubbard,RB,33,159.1,sleeper,False,NORMAL,58.8,98.5,134.3,180.6,213.2,0.102,0.308,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0036555,CAR,0,stable_role,7.0
2026,Blake Corum,RB,34,127.8,sleeper,False,NORMAL,27.5,67.2,103.0,149.3,181.9,0.027,0.176,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039738,LA,0,stable_role,-1.0
2026,RJ Harvey,RB,35,125.6,sleeper,False,NORMAL,25.3,65.0,100.8,147.1,179.7,0.027,0.173,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040730,DEN,0,stable_role,-1.0
2026,Aaron Jones,RB,36,136.8,sleeper,False,NORMAL,36.5,76.2,112.0,158.3,190.9,0.044,0.2,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0033293,MIN,0,volatile_rb_wr,3.0
2026,Kenny Gainwell,RB,37,116.2,sleeper,False,NORMAL,15.9,55.6,91.4,137.7,170.3,0.024,0.112,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0036919,TB,0,volatile_rb_wr,
2026,Tyler Allgeier,RB,38,67.8,sleeper,False,NORMAL,-32.5,7.2,43.0,89.3,121.9,0.0,0.02,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0037263,ARI,0,volatile_rb_wr,-9.0
2026,Jonathon Brooks,RB,39,24.3,sleeper,False,NORMAL,-76.0,-36.3,-0.5,45.8,78.4,0.0,0.0,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0039344,CAR,0,volatile_rb_wr,-19.0
2026,Jonah Coleman,RB,40,54.9,sleeper,False,NORMAL,-45.4,-5.7,30.1,76.4,109.0,0.0,0.007,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0041496,DEN,1,volatile_rb_wr,-11.0
2026,James Conner,RB,41,53.8,sleeper,False,NORMAL,-46.5,-6.8,29.0,75.3,107.9,0.0,0.007,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0033553,ARI,0,volatile_rb_wr,-11.0
2026,Jacory Croskey-Merritt,RB,42,118.4,sleeper,False,NORMAL,18.1,57.8,93.6,139.9,172.5,0.027,0.122,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040242,WAS,0,stable_role,4.0
2026,Rachaad White,RB,43,106.7,sleeper,False,NORMAL,6.4,46.1,81.9,128.2,160.8,0.01,0.078,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0037256,WAS,0,volatile_rb_wr,3.0
2026,Zach Charbonnet,RB,44,68.8,sleeper,False,NORMAL,-31.5,8.2,44.0,90.3,122.9,0.0,0.024,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039165,SEA,0,stable_role,-2.0
2026,Brian Robinson,RB,45,63.4,sleeper,False,NORMAL,-36.9,2.8,38.6,84.9,117.5,0.0,0.01,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0037746,ATL,0,volatile_rb_wr,-3.0
2026,Woody Marks,RB,46,74.3,sleeper,False,NORMAL,-26.0,13.7,49.5,95.8,128.4,0.0,0.027,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040583,HOU,0,stable_role,1.0
2026,Tyrone Tracy,RB,47,100.8,sleeper,False,NORMAL,0.5,40.2,76.0,122.3,154.9,0.007,0.071,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039384,NYG,0,stable_role,6.0
2026,Jordan Mason,RB,48,118.0,sleeper,False,NORMAL,17.7,57.4,93.2,139.5,172.1,0.027,0.122,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0037525,MIN,0,stable_role,9.0
2026,Emmett Johnson,RB,49,59.2,sleeper,False,NORMAL,-41.1,-1.4,34.4,80.7,113.3,0.0,0.01,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0041013,KC,1,volatile_rb_wr,0.0
2026,Trey Benson,RB,50,25.7,sleeper,False,NORMAL,-74.6,-34.9,0.9,47.2,79.8,0.0,0.0,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0039921,ARI,0,volatile_rb_wr,-7.0
2026,Alvin Kamara,RB,51,40.9,sleeper,False,NORMAL,-59.4,-19.7,16.1,62.4,95.0,0.0,0.003,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0033906,NO,0,volatile_rb_wr,-4.0
2026,Tyjae Spears,RB,52,97.1,sleeper,False,NORMAL,-3.2,36.5,72.3,118.6,151.2,0.007,0.058,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0039032,TEN,0,volatile_rb_wr,10.0
2026,Dylan Sampson,RB,53,77.2,sleeper,False,NORMAL,-23.1,16.6,52.4,98.7,131.3,0.0,0.027,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040162,CLE,0,stable_role,9.0
2026,Braelon Allen,RB,54,48.8,sleeper,False,NORMAL,-51.5,-11.8,24.0,70.3,102.9,0.0,0.007,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0039794,NYJ,0,volatile_rb_wr,0.0
2026,Mike Washington,RB,55,57.5,sleeper,False,NORMAL,-42.8,-3.1,32.7,79.0,111.6,0.0,0.007,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0040878,LV,1,volatile_rb_wr,5.0
2026,Kimani Vidal,RB,56,32.2,sleeper,False,NORMAL,-68.1,-28.4,7.4,53.7,86.3,0.0,0.0,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039391,LAC,0,stable_role,0.0
2026,Chris Rodriguez,RB,57,125.0,sleeper,False,NORMAL,24.7,64.4,100.2,146.5,179.1,0.027,0.169,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0038611,JAX,0,volatile_rb_wr,20.0
2026,Tank Bigsby,RB,58,53.2,sleeper,False,NORMAL,-47.1,-7.4,28.4,74.7,107.3,0.0,0.007,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate, freshness-controlled (dated best-ball market; format delta); threshold tiers unvalidated; aggregate validation only — no player-level or sub-group claim",00-0038555,PHI,0,volatile_rb_wr,5.0
