Position,Name,Salary,TeamAbbrev,AvgPointsPerGame,Game Info
QB,Nick Mullens,5600,JAX,1.02,JAX@HOU 2025-11-09 01:00PM ET
RB,Derrick Henry,9200,BAL,16.26,BAL@MIN 2025-11-09 01:00PM ET
RB,Jahmyr Gibbs,9000,DET,15.6,DET@WAS 2025-11-09 01:00PM ET
RB,James Cook,8700,BUF,14.81,BUF@MIA 2025-11-09 01:00PM ET
RB,Christian McCaffrey,7900,SF,12.66,SF@LA 2025-11-09 01:00PM ET
RB,Bijan Robinson,7800,ATL,12.39,ATL@IND 2025-11-09 01:00PM ET
RB,RJ Harvey,7700,DEN,12.13,DEN@LV 2025-11-09 01:00PM ET
RB,De'Von Achane,7700,MIA,12.0,MIA@BUF 2025-11-09 01:00PM ET
RB,Travis Etienne,7600,JAX,11.86,JAX@HOU 2025-11-09 01:00PM ET
RB,J.K. Dobbins,7500,DEN,11.46,DEN@LV 2025-11-09 01:00PM ET
RB,Kenneth Gainwell,7400,PIT,11.23,PIT@LAC 2025-11-09 01:00PM ET
RB,James Conner,7400,ARI,11.19,ARI@SEA 2025-11-09 01:00PM ET
RB,Ashton Jeanty,7200,LV,10.74,LV@DEN 2025-11-09 01:00PM ET
RB,Kyren Williams,7200,LA,10.62,LA@SF 2025-11-09 01:00PM ET
RB,Kenneth Walker III,7100,SEA,10.41,SEA@ARI 2025-11-09 01:00PM ET
RB,Jonathan Taylor,7000,IND,10.19,IND@ATL 2025-11-09 01:00PM ET
RB,Tyrone Tracy Jr.,6800,NYG,9.69,NYG@CHI 2025-11-09 01:00PM ET
RB,Joe Mixon,6800,HOU,9.63,HOU@JAX 2025-11-09 01:00PM ET
RB,Saquon Barkley,6800,PHI,9.61,PHI@GB 2025-11-09 01:00PM ET
RB,Josh Jacobs,6800,GB,9.54,GB@PHI 2025-11-09 01:00PM ET
RB,Jawhar Jordan,6700,HOU,9.31,HOU@JAX 2025-11-09 01:00PM ET
RB,Breece Hall,6700,NYJ,9.23,NYJ@CLE 2025-11-09 01:00PM ET
RB,Cam Skattebo,6700,NYG,9.17,NYG@CHI 2025-11-09 01:00PM ET
RB,Rico Dowdle,6600,CAR,8.97,CAR@NO 2025-11-09 01:00PM ET
RB,Blake Corum,6600,LA,8.89,LA@SF 2025-11-09 01:00PM ET
RB,D'Andre Swift,6600,CHI,8.88,CHI@NYG 2025-11-09 01:00PM ET
RB,Rhamondre Stevenson,6400,NE,8.53,NE@TB 2025-11-09 01:00PM ET
RB,Jaylen Warren,6400,PIT,8.51,PIT@LAC 2025-11-09 01:00PM ET
RB,Bam Knight,6400,ARI,8.48,ARI@SEA 2025-11-09 01:00PM ET
RB,Quinshon Judkins,6400,CLE,8.36,CLE@NYJ 2025-11-09 01:00PM ET
RB,Kimani Vidal,6300,LAC,8.14,LAC@PIT 2025-11-09 01:00PM ET
RB,Sincere McCormick,6200,LV,7.87,LV@DEN 2025-11-09 01:00PM ET
RB,Kyle Monangai,6100,CHI,7.57,CHI@NYG 2025-11-09 01:00PM ET
RB,Michael Carter,6000,ARI,7.35,ARI@SEA 2025-11-09 01:00PM ET
RB,Devin Singletary,6000,NYG,7.19,NYG@CHI 2025-11-09 01:00PM ET
RB,Chris Rodriguez Jr.,5900,WAS,6.94,WAS@DET 2025-11-09 01:00PM ET
RB,TreVeyon Henderson,5800,NE,6.9,NE@TB 2025-11-09 01:00PM ET
RB,Alvin Kamara,5800,NO,6.84,NO@CAR 2025-11-09 01:00PM ET
RB,Tyler Allgeier,5800,ATL,6.79,ATL@IND 2025-11-09 01:00PM ET
RB,Aaron Jones,5800,MIN,6.63,MIN@BAL 2025-11-09 01:00PM ET
RB,Jacory Croskey-Merritt,5700,WAS,6.6,WAS@DET 2025-11-09 01:00PM ET
RB,Zach Charbonnet,5700,SEA,6.59,SEA@ARI 2025-11-09 01:00PM ET
RB,David Montgomery,5700,DET,6.48,DET@WAS 2025-11-09 01:00PM ET
RB,Gus Edwards,5700,LAC,6.44,LAC@PIT 2025-11-09 01:00PM ET
RB,Jordan Mason,5700,MIN,6.43,MIN@BAL 2025-11-09 01:00PM ET
RB,Omarion Hampton,5700,LAC,6.37,LAC@PIT 2025-11-09 01:00PM ET
RB,Alexander Mattison,5600,LV,6.11,LV@DEN 2025-11-09 01:00PM ET
RB,Austin Ekeler,5400,WAS,5.76,WAS@DET 2025-11-09 01:00PM ET
RB,Keaton Mitchell,5400,BAL,5.7,BAL@MIN 2025-11-09 01:00PM ET
RB,Najee Harris,5400,LAC,5.58,LAC@PIT 2025-11-09 01:00PM ET
RB,Chuba Hubbard,5300,CAR,5.44,CAR@NO 2025-11-09 01:00PM ET
RB,Rachaad White,5200,TB,5.04,TB@NE 2025-11-09 01:00PM ET
RB,Justice Hill,5200,BAL,5.01,BAL@MIN 2025-11-09 01:00PM ET
RB,Woody Marks,5200,HOU,5.01,HOU@JAX 2025-11-09 01:00PM ET
RB,Jaret Patterson,5100,LAC,4.89,LAC@PIT 2025-11-09 01:00PM ET
RB,Ty Johnson,5100,BUF,4.85,BUF@MIA 2025-11-09 01:00PM ET
RB,Rasheen Ali,5100,BAL,4.84,BAL@MIN 2025-11-09 01:00PM ET
RB,Tank Bigsby,5100,PHI,4.79,PHI@GB 2025-11-09 01:00PM ET
RB,Antonio Gibson,5100,NE,4.71,NE@TB 2025-11-09 01:00PM ET
RB,Audric Estimé,5100,NO,4.69,NO@CAR 2025-11-09 01:00PM ET
RB,Emanuel Wilson,5000,GB,4.65,GB@PHI 2025-11-09 01:00PM ET
RB,Chase Edmonds,5000,WAS,4.62,WAS@DET 2025-11-09 01:00PM ET
RB,Emari Demercado,5000,ARI,4.6,ARI@SEA 2025-11-09 01:00PM ET
RB,Dylan Sampson,5000,CLE,4.54,CLE@NYJ 2025-11-09 01:00PM ET
RB,Corey Kiner,5000,ARI,4.53,ARI@SEA 2025-11-09 01:00PM ET
RB,J.J. Taylor,5000,HOU,4.43,HOU@JAX 2025-11-09 01:00PM ET
RB,Cam Akers,4900,SEA,4.35,SEA@ARI 2025-11-09 01:00PM ET
RB,Jaleel McLaughlin,4900,DEN,4.24,DEN@LV 2025-11-09 01:00PM ET
RB,Jaylen Wright,4800,MIA,4.1,MIA@BUF 2025-11-09 01:00PM ET
RB,Jordan Mims,4800,NO,4.04,NO@CAR 2025-11-09 01:00PM ET
RB,Kendre Miller,4800,NO,4.0,NO@CAR 2025-11-09 01:00PM ET
RB,Jermar Jefferson,4800,DET,3.94,DET@WAS 2025-11-09 01:00PM ET
RB,Jamaal Williams,4800,NO,3.93,NO@CAR 2025-11-09 01:00PM ET
RB,Kenny McIntosh,4800,SEA,3.93,SEA@ARI 2025-11-09 01:00PM ET
RB,Trey Benson,4700,ARI,3.79,ARI@SEA 2025-11-09 01:00PM ET
RB,Devin Neal,4700,NO,3.77,NO@CAR 2025-11-09 01:00PM ET
RB,Raheim Sanders,4700,CLE,3.77,CLE@NYJ 2025-11-09 01:00PM ET
RB,Raheem Mostert,4700,LV,3.65,LV@DEN 2025-11-09 01:00PM ET
RB,Chris Brooks,4600,GB,3.51,GB@PHI 2025-11-09 01:00PM ET
RB,Adam Prentice,4600,DEN,3.45,DEN@LV 2025-11-09 01:00PM ET
RB,Ronnie Rivers,4600,LA,3.43,LA@SF 2025-11-09 01:00PM ET
RB,Braelon Allen,4600,NYJ,3.42,NYJ@CLE 2025-11-09 01:00PM ET
RB,Brian Robinson,4600,SF,3.41,SF@LA 2025-11-09 01:00PM ET
RB,Myles Gaskin,4600,MIN,3.38,MIN@BAL 2025-11-09 01:00PM ET
RB,Nick Chubb,4600,HOU,3.36,HOU@JAX 2025-11-09 01:00PM ET
RB,Ray Davis,4500,BUF,3.22,BUF@MIA 2025-11-09 01:00PM ET
RB,D'Onta Foreman,4500,CLE,3.21,CLE@NYJ 2025-11-09 01:00PM ET
RB,Patrick Taylor,4500,SF,3.2,SF@LA 2025-11-09 01:00PM ET
RB,DJ Giddens,4500,IND,3.15,IND@ATL 2025-11-09 01:00PM ET
RB,Ameer Abdullah,4500,IND,3.1,IND@ATL 2025-11-09 01:00PM ET
RB,Tyler Badie,4500,DEN,3.09,DEN@LV 2025-11-09 01:00PM ET
RB,Khalil Herbert,4500,NYJ,3.03,NYJ@CLE 2025-11-09 01:00PM ET
RB,AJ Dillon,4400,PHI,2.99,PHI@GB 2025-11-09 01:00PM ET
RB,Jeff Wilson,4400,MIA,2.96,MIA@BUF 2025-11-09 01:00PM ET
RB,Evan Hull,4400,NO,2.96,NO@CAR 2025-11-09 01:00PM ET
RB,Zamir White,4400,LV,2.93,LV@DEN 2025-11-09 01:00PM ET
RB,Trayveon Williams,4400,CLE,2.92,CLE@NYJ 2025-11-09 01:00PM ET
RB,Bhayshul Tuten,4400,JAX,2.89,JAX@HOU 2025-11-09 01:00PM ET
RB,Raheem Blackshear,4400,CAR,2.86,CAR@NO 2025-11-09 01:00PM ET
RB,Isaiah Davis,4400,NYJ,2.75,NYJ@CLE 2025-11-09 01:00PM ET
RB,Ollie Gordon II,4400,MIA,2.75,MIA@BUF 2025-11-09 01:00PM ET
RB,Trey Sermon,4300,PIT,2.63,PIT@LAC 2025-11-09 01:00PM ET
RB,Mike Boone,4300,CAR,2.57,CAR@NO 2025-11-09 01:00PM ET
RB,Dameon Pierce,4300,HOU,2.56,HOU@JAX 2025-11-09 01:00PM ET
RB,Kaleb Johnson,4300,PIT,2.49,PIT@LAC 2025-11-09 01:00PM ET
RB,Sean Tucker,4200,TB,2.39,TB@NE 2025-11-09 01:00PM ET
RB,Terrell Jennings,4200,NE,2.34,NE@TB 2025-11-09 01:00PM ET
RB,LeQuint Allen Jr.,4200,JAX,2.29,JAX@HOU 2025-11-09 01:00PM ET
RB,D'Ernest Johnson,4200,NE,2.26,NE@TB 2025-11-09 01:00PM ET
RB,Jeremy McNichols,4100,WAS,2.15,WAS@DET 2025-11-09 01:00PM ET
RB,Velus Jones Jr.,4100,NO,2.14,NO@CAR 2025-11-09 01:00PM ET
RB,Hassan Haskins,4100,LAC,2.13,LAC@PIT 2025-11-09 01:00PM ET
RB,Troy Hairston,4100,HOU,2.11,HOU@JAX 2025-11-09 01:00PM ET
RB,Nyheim Hines,4100,LAC,2.06,LAC@PIT 2025-11-09 01:00PM ET
RB,Aaron Shampklin,4100,PIT,2.02,PIT@LAC 2025-11-09 01:00PM ET
RB,Dare Ogunbowale,4100,HOU,2.01,HOU@JAX 2025-11-09 01:00PM ET
RB,JaMycal Hasty,4100,NE,2.0,NE@TB 2025-11-09 01:00PM ET
RB,Roschon Johnson,4100,CHI,1.97,CHI@NYG 2025-11-09 01:00PM ET
RB,Zavier Scott,4100,MIN,1.95,MIN@BAL 2025-11-09 01:00PM ET
RB,Jonathan Ward,4000,PIT,1.83,PIT@LAC 2025-11-09 01:00PM ET
RB,George Holani,4000,SEA,1.81,SEA@ARI 2025-11-09 01:00PM ET
RB,Craig Reynolds,4000,DET,1.79,DET@WAS 2025-11-09 01:00PM ET
RB,Cordarrelle Patterson,4000,PIT,1.64,PIT@LAC 2025-11-09 01:00PM ET
RB,Andrew Beck,4000,NYJ,1.62,NYJ@CLE 2025-11-09 01:00PM ET
RB,Robbie Ouzts,4000,SEA,1.62,SEA@ARI 2025-11-09 01:00PM ET
RB,Sione Vaki,3900,DET,1.59,DET@WAS 2025-11-09 01:00PM ET
RB,DeeJay Dallas,3900,JAX,1.55,JAX@HOU 2025-11-09 01:00PM ET
RB,Tyler Goodson,3900,IND,1.51,IND@ATL 2025-11-09 01:00PM ET
RB,Pierre Strong,3900,CLE,1.44,CLE@NYJ 2025-11-09 01:00PM ET
RB,Chris Collier,3900,LV,1.34,LV@DEN 2025-11-09 01:00PM ET
RB,Avery Williams,3800,ATL,1.21,ATL@IND 2025-11-09 01:00PM ET
RB,Dylan Laube,3800,LV,1.17,LV@DEN 2025-11-09 01:00PM ET
RB,Ben VanSumeren,3800,PHI,1.16,PHI@GB 2025-11-09 01:00PM ET
RB,Jonathon Brooks,3800,CAR,1.13,CAR@NO 2025-11-09 01:00PM ET
RB,Ty Chandler,3800,MIN,1.07,MIN@BAL 2025-11-09 01:00PM ET
RB,Jerome Ford,3700,CLE,1.04,CLE@NYJ 2025-11-09 01:00PM ET
RB,Will Shipley,3700,PHI,0.98,PHI@GB 2025-11-09 01:00PM ET
RB,Brittain Brown,3700,CHI,0.81,CHI@NYG 2025-11-09 01:00PM ET
RB,Eric Gray,3600,NYG,0.75,NYG@CHI 2025-11-09 01:00PM ET
RB,Trevor Etienne,3600,CAR,0.75,CAR@NO 2025-11-09 01:00PM ET
RB,Kene Nwangwu,3600,NYJ,0.57,NYJ@CLE 2025-11-09 01:00PM ET
RB,Isaac Guerendo,3600,SF,0.57,SF@LA 2025-11-09 01:00PM ET
RB,British Brooks,3500,HOU,0.47,HOU@JAX 2025-11-09 01:00PM ET
RB,Travis Homer,3500,CHI,0.34,CHI@NYG 2025-11-09 01:00PM ET
TE,Harold Fannin Jr.,7600,CLE,10.77,CLE@NYJ 2025-11-09 01:00PM ET
TE,Trey McBride,7400,ARI,10.29,ARI@SEA 2025-11-09 01:00PM ET
TE,Brock Bowers,7200,LV,9.86,LV@DEN 2025-11-09 01:00PM ET
TE,George Kittle,7000,SF,9.55,SF@LA 2025-11-09 01:00PM ET
TE,Dallas Goedert,6600,PHI,8.63,PHI@GB 2025-11-09 01:00PM ET
TE,Juwan Johnson,6000,NO,7.53,NO@CAR 2025-11-09 01:00PM ET
TE,Sam LaPorta,6000,DET,7.4,DET@WAS 2025-11-09 01:00PM ET
TE,Kyle Pitts,5800,ATL,7.03,ATL@IND 2025-11-09 01:00PM ET
TE,Theo Johnson,5700,NYG,6.83,NYG@CHI 2025-11-09 01:00PM ET
TE,Zach Ertz,5700,WAS,6.83,WAS@DET 2025-11-09 01:00PM ET
TE,Dalton Schultz,5600,HOU,6.69,HOU@JAX 2025-11-09 01:00PM ET
TE,Mark Andrews,5500,BAL,6.55,BAL@MIN 2025-11-09 01:00PM ET
TE,Evan Engram,5500,DEN,6.41,DEN@LV 2025-11-09 01:00PM ET
TE,Jonnu Smith,5400,PIT,6.21,PIT@LAC 2025-11-09 01:00PM ET
TE,Colston Loveland,5400,CHI,6.21,CHI@NYG 2025-11-09 01:00PM ET
TE,Colby Parkinson,5300,LA,6.16,LA@SF 2025-11-09 01:00PM ET
TE,Dalton Kincaid,5300,BUF,6.16,BUF@MIA 2025-11-09 01:00PM ET
TE,Hunter Henry,5300,NE,6.13,NE@TB 2025-11-09 01:00PM ET
TE,Cade Otton,5300,TB,6.09,TB@NE 2025-11-09 01:00PM ET
TE,Dawson Knox,5200,BUF,5.94,BUF@MIA 2025-11-09 01:00PM ET
TE,Tucker Kraft,5200,GB,5.93,GB@PHI 2025-11-09 01:00PM ET
TE,T.J. Hockenson,5100,MIN,5.64,MIN@BAL 2025-11-09 01:00PM ET
TE,AJ Barner,5100,SEA,5.62,SEA@ARI 2025-11-09 01:00PM ET
TE,Tyler Higbee,5000,LA,5.38,LA@SF 2025-11-09 01:00PM ET
TE,Isaiah Likely,4900,BAL,5.23,BAL@MIN 2025-11-09 01:00PM ET
TE,Mason Taylor,4900,NYJ,5.21,NYJ@CLE 2025-11-09 01:00PM ET
TE,Oronde Gadsden II,4800,LAC,5.13,LAC@PIT 2025-11-09 01:00PM ET
TE,Luke Musgrave,4800,GB,5.05,GB@PHI 2025-11-09 01:00PM ET
TE,Tyler Warren,4600,IND,4.7,IND@ATL 2025-11-09 01:00PM ET
TE,Jordan Akins,4600,CLE,4.56,CLE@NYJ 2025-11-09 01:00PM ET
TE,Greg Dulcich,4500,MIA,4.52,MIA@BUF 2025-11-09 01:00PM ET
TE,Brenton Strange,4500,JAX,4.37,JAX@HOU 2025-11-09 01:00PM ET
TE,Darnell Washington,4400,PIT,4.34,PIT@LAC 2025-11-09 01:00PM ET
TE,Darren Waller,4300,MIA,4.12,MIA@BUF 2025-11-09 01:00PM ET
TE,Cade Stover,4100,HOU,3.65,HOU@JAX 2025-11-09 01:00PM ET
TE,Taysom Hill,4100,NO,3.59,NO@CAR 2025-11-09 01:00PM ET
TE,Jelani Woods,4100,NYJ,3.54,NYJ@CLE 2025-11-09 01:00PM ET
TE,Lucas Krull,4000,DEN,3.52,DEN@LV 2025-11-09 01:00PM ET
TE,David Njoku,4000,CLE,3.43,CLE@NYJ 2025-11-09 01:00PM ET
TE,Connor Heyward,4000,PIT,3.32,PIT@LAC 2025-11-09 01:00PM ET
TE,Grant Calcaterra,3900,PHI,3.2,PHI@GB 2025-11-09 01:00PM ET
TE,Jake Tonges,3900,SF,3.15,SF@LA 2025-11-09 01:00PM ET
TE,John Bates,3800,WAS,3.04,WAS@DET 2025-11-09 01:00PM ET
TE,Ben Sinnott,3800,WAS,3.04,WAS@DET 2025-11-09 01:00PM ET
TE,Elijah Higgins,3800,ARI,2.96,ARI@SEA 2025-11-09 01:00PM ET
TE,Hayden Hurst,3700,LAC,2.83,LAC@PIT 2025-11-09 01:00PM ET
TE,Adam Trautman,3700,DEN,2.81,DEN@LV 2025-11-09 01:00PM ET
TE,Austin Hooper,3700,NE,2.75,NE@TB 2025-11-09 01:00PM ET
TE,Cole Kmet,3600,CHI,2.65,CHI@NYG 2025-11-09 01:00PM ET
TE,Tommy Tremble,3600,CAR,2.65,CAR@NO 2025-11-09 01:00PM ET
TE,Ben Sims,3600,MIN,2.64,MIN@BAL 2025-11-09 01:00PM ET
TE,Michael Mayer,3600,LV,2.59,LV@DEN 2025-11-09 01:00PM ET
TE,Mitchell Evans,3600,CAR,2.58,CAR@NO 2025-11-09 01:00PM ET
TE,Shane Zylstra,3600,DET,2.57,DET@WAS 2025-11-09 01:00PM ET
TE,Johnny Mundt,3600,JAX,2.54,JAX@HOU 2025-11-09 01:00PM ET
TE,Ian Thomas,3600,LV,2.54,LV@DEN 2025-11-09 01:00PM ET
TE,Julian Hill,3500,MIA,2.48,MIA@BUF 2025-11-09 01:00PM ET
TE,Brevin Jordan,3500,HOU,2.35,HOU@JAX 2025-11-09 01:00PM ET
TE,Davis Allen,3400,LA,2.29,LA@SF 2025-11-09 01:00PM ET
TE,Jeremy Ruckert,3400,NYJ,2.25,NYJ@CLE 2025-11-09 01:00PM ET
TE,Devin Culp,3400,TB,2.25,TB@NE 2025-11-09 01:00PM ET
TE,Tanner Conner,3400,MIA,2.24,MIA@BUF 2025-11-09 01:00PM ET
TE,Mo Alie-Cox,3300,IND,2.09,IND@ATL 2025-11-09 01:00PM ET
TE,Harrison Bryant,3300,HOU,2.06,HOU@JAX 2025-11-09 01:00PM ET
TE,Pat Freiermuth,3300,PIT,2.06,PIT@LAC 2025-11-09 01:00PM ET
TE,Ben Yurosek,3300,MIN,2.04,MIN@BAL 2025-11-09 01:00PM ET
TE,Carter Runyon,3300,LV,2.01,LV@DEN 2025-11-09 01:00PM ET
TE,Terrance Ferguson,3300,LA,2.01,LA@SF 2025-11-09 01:00PM ET
TE,Daniel Bellinger,3300,NYG,1.98,NYG@CHI 2025-11-09 01:00PM ET
TE,Ja'Tavion Sanders,3300,CAR,1.95,CAR@NO 2025-11-09 01:00PM ET
TE,Anthony Firkser,3300,DET,1.94,DET@WAS 2025-11-09 01:00PM ET
TE,Josh Whyle,3300,GB,1.92,GB@PHI 2025-11-09 01:00PM ET
TE,Brenden Bates,3300,CLE,1.92,CLE@NYJ 2025-11-09 01:00PM ET
TE,Tucker Fisk,3300,LAC,1.91,LAC@PIT 2025-11-09 01:00PM ET
TE,Brock Wright,3200,DET,1.9,DET@WAS 2025-11-09 01:00PM ET
TE,C.J. Uzomah,3200,PHI,1.82,PHI@GB 2025-11-09 01:00PM ET
TE,Cameron Latu,3200,PHI,1.82,PHI@GB 2025-11-09 01:00PM ET
TE,Kylen Granson,3200,PHI,1.81,PHI@GB 2025-11-09 01:00PM ET
TE,Jackson Hawes,3200,BUF,1.81,BUF@MIA 2025-11-09 01:00PM ET
TE,MyCole Pruitt,3200,PIT,1.79,PIT@LAC 2025-11-09 01:00PM ET
TE,Tyler Conklin,3200,LAC,1.73,LAC@PIT 2025-11-09 01:00PM ET
TE,John Shenker,3200,LV,1.7,LV@DEN 2025-11-09 01:00PM ET
TE,Will Mallory,3100,IND,1.68,IND@ATL 2025-11-09 01:00PM ET
TE,Andrew Ogletree,3100,IND,1.67,IND@ATL 2025-11-09 01:00PM ET
TE,Josiah Deguara,3100,ARI,1.66,ARI@SEA 2025-11-09 01:00PM ET
TE,Giovanni Ricci,3100,DET,1.61,DET@WAS 2025-11-09 01:00PM ET
TE,Colson Yankoff,3100,WAS,1.61,WAS@DET 2025-11-09 01:00PM ET
TE,Dallin Holker,3100,NO,1.56,NO@CAR 2025-11-09 01:00PM ET
TE,Charlie Kolar,3100,BAL,1.56,BAL@MIN 2025-11-09 01:00PM ET
TE,Nick Kallerup,3100,SEA,1.51,SEA@ARI 2025-11-09 01:00PM ET
TE,James Mitchell,3100,CAR,1.5,CAR@NO 2025-11-09 01:00PM ET
